ticker,date,price,sax_symbol,trend,volatility,daily_return,zscore
005930.KS,2020-01-03,55500.0,D2,Downtrend,Unknown,0.005434782608695565,0.0
005930.KS,2020-01-06,55500.0,D2,Downtrend,Unknown,0.0,0.0
005930.KS,2020-01-07,55800.0,D2,Downtrend,Unknown,0.00540540540540535,0.0
005930.KS,2020-01-08,56800.0,D2,Downtrend,Unknown,0.017921146953405076,0.0
005930.KS,2020-01-09,58600.0,D1,Downtrend,Unknown,0.03169014084507049,0.0
005930.KS,2020-01-10,59500.0,D1,Downtrend,Unknown,0.015358361774743923,0.0
005930.KS,2020-01-13,60000.0,D1,Downtrend,Unknown,0.008403361344537785,0.0
005930.KS,2020-01-14,60000.0,D1,Downtrend,Unknown,0.0,0.0
005930.KS,2020-01-15,59000.0,D1,Downtrend,Unknown,-0.01666666666666672,0.0
005930.KS,2020-01-16,60700.0,D1,Downtrend,Unknown,0.028813559322034,0.0
005930.KS,2020-01-17,61300.0,D1,Downtrend,Unknown,0.009884678747940745,0.0
005930.KS,2020-01-20,62400.0,D1,Downtrend,Unknown,0.01794453507340954,0.0
005930.KS,2020-01-21,61400.0,D1,Downtrend,Unknown,-0.01602564102564108,0.0
005930.KS,2020-01-22,62300.0,D1,Downtrend,Unknown,0.014657980456026065,0.0
005930.KS,2020-01-23,60800.0,D1,Downtrend,Unknown,-0.024077046548956704,0.0
005930.KS,2020-01-28,58800.0,D1,Downtrend,Unknown,-0.03289473684210531,0.0
005930.KS,2020-01-29,59100.0,D1,Downtrend,Unknown,0.005102040816326481,0.0
005930.KS,2020-01-30,57200.0,D2,Downtrend,Unknown,-0.032148900169204686,0.0
005930.KS,2020-01-31,56400.0,D2,Downtrend,Unknown,-0.013986013986013957,0.0
005930.KS,2020-02-03,57200.0,D2,Downtrend,Medium,0.014184397163120588,0.0
005930.KS,2020-02-04,58900.0,D1,Downtrend,Medium,0.029720279720279796,0.0
005930.KS,2020-02-05,59500.0,D1,Downtrend,Medium,0.01018675721561979,0.0
005930.KS,2020-02-06,61100.0,D1,Downtrend,Medium,0.026890756302520913,0.0
005930.KS,2020-02-07,60400.0,D1,Downtrend,Medium,-0.011456628477905073,0.0
005930.KS,2020-02-10,59700.0,D1,Downtrend,Medium,-0.011589403973509937,0.0
005930.KS,2020-02-11,59900.0,D1,Downtrend,Medium,0.003350083752093891,0.0
005930.KS,2020-02-12,60500.0,D1,Downtrend,Medium,0.01001669449081799,0.0
005930.KS,2020-02-13,60700.0,D1,Downtrend,Medium,0.0033057851239668423,0.0
005930.KS,2020-02-14,61800.0,D1,Downtrend,Medium,0.01812191103789118,0.0
005930.KS,2020-02-17,61500.0,D1,Downtrend,Medium,-0.004854368932038833,0.0
005930.KS,2020-02-18,59800.0,D1,Downtrend,Medium,-0.027642276422764178,0.0
005930.KS,2020-02-19,60200.0,D1,Downtrend,Medium,0.006688963210702337,0.0
005930.KS,2020-02-20,60000.0,D1,Downtrend,Medium,-0.0033222591362126463,0.0
005930.KS,2020-02-21,59200.0,D1,Downtrend,Medium,-0.013333333333333308,0.0
005930.KS,2020-02-24,56800.0,D2,Downtrend,Medium,-0.04054054054054057,0.0
005930.KS,2020-02-25,57900.0,D2,Downtrend,Medium,0.01936619718309851,0.0
005930.KS,2020-02-26,56500.0,D2,Downtrend,Medium,-0.024179620034542326,0.0
005930.KS,2020-02-27,55900.0,D2,Downtrend,Medium,-0.010619469026548645,0.0
005930.KS,2020-02-28,54200.0,D2,Downtrend,Medium,-0.030411449016100156,0.0
005930.KS,2020-03-02,55000.0,D2,Downtrend,Medium,0.014760147601476037,0.0
005930.KS,2020-03-03,55400.0,D2,Downtrend,Medium,0.0072727272727273196,0.0
005930.KS,2020-03-04,57400.0,D2,Downtrend,Medium,0.036101083032491044,0.0
005930.KS,2020-03-05,57800.0,D2,Downtrend,Medium,0.006968641114982521,0.0
005930.KS,2020-03-06,56500.0,D2,Downtrend,Medium,-0.02249134948096887,0.0
005930.KS,2020-03-09,56500.0,D2,Downtrend,Medium,0.0,0.0
005930.KS,2020-03-10,54600.0,D2,Downtrend,Medium,-0.03362831858407078,0.0
005930.KS,2020-03-11,52100.0,D2,Downtrend,Medium,-0.045787545787545736,0.0
005930.KS,2020-03-12,52100.0,D2,Downtrend,Medium,0.0,0.0
005930.KS,2020-03-13,49950.0,D2,Downtrend,Medium,-0.041266794625719805,0.0
005930.KS,2020-03-16,48900.0,D2,Downtrend,Medium,-0.02102102102102099,0.0
005930.KS,2020-03-17,47300.0,D2,Downtrend,Medium,-0.03271983640081799,0.0
005930.KS,2020-03-18,45600.0,D2,Downtrend,Medium,-0.03594080338266381,0.0
005930.KS,2020-03-19,42950.0,D2,Downtrend,Medium,-0.058114035087719285,0.0
005930.KS,2020-03-20,45400.0,D2,Downtrend,Medium,0.057043073341094264,0.0
005930.KS,2020-03-23,42500.0,D2,Downtrend,High,-0.06387665198237891,0.0
005930.KS,2020-03-24,46950.0,D2,Downtrend,High,0.1047058823529412,0.0
005930.KS,2020-03-25,48650.0,D2,Downtrend,High,0.03620873269435565,0.0
005930.KS,2020-03-26,47800.0,D2,Downtrend,High,-0.0174717368961973,0.0
005930.KS,2020-03-27,48300.0,D2,Downtrend,High,0.010460251046025215,-1.5246606725248228
005930.KS,2020-03-30,47850.0,D2,Downtrend,High,-0.009316770186335366,-1.5551846796382907
005930.KS,2020-03-31,47750.0,D2,Downtrend,High,-0.002089864158829724,-1.5186687966853625
005930.KS,2020-04-01,45800.0,D2,Downtrend,High,-0.0408376963350785,-1.7991938160303558
005930.KS,2020-04-02,46800.0,D2,Downtrend,High,0.02183406113537112,-1.5575880266084732
005930.KS,2020-04-03,47000.0,D2,Downtrend,High,0.004273504273504258,-1.4659220850327839
005930.KS,2020-04-06,48700.0,D2,Downtrend,High,0.036170212765957555,-1.1320769309067729
005930.KS,2020-04-07,49600.0,D2,Downtrend,High,0.01848049281314168,-0.945568344577868
005930.KS,2020-04-08,48600.0,D2,Downtrend,High,-0.020161290322580627,-1.0803344961730776
005930.KS,2020-04-09,49100.0,D2,Downtrend,High,0.010288065843621297,-0.9622933901806393
005930.KS,2020-04-10,49250.0,D2,Downtrend,High,0.003054989816700715,-0.9066103636043035
005930.KS,2020-04-13,48300.0,D2,Downtrend,High,-0.019289340101522834,-1.033470995714431
005930.KS,2020-04-14,49000.0,D2,Downtrend,High,0.01449275362318847,-0.8840062787437947
005930.KS,2020-04-16,49000.0,D2,Downtrend,High,0.0,-0.8552150391617231
005930.KS,2020-04-17,51400.0,D2,Downtrend,High,0.048979591836734615,-0.4159243045601718
005930.KS,2020-04-20,50100.0,D2,Downtrend,High,-0.02529182879377434,-0.6185165904848825
005930.KS,2020-04-21,49250.0,D2,Downtrend,High,-0.01696606786427146,-0.7430963268258255
005930.KS,2020-04-22,49850.0,D2,Downtrend,Medium,0.012182741116751217,-0.611181533892858
005930.KS,2020-04-23,49850.0,D2,Downtrend,Medium,0.0,-0.5872818365280342
005930.KS,2020-04-24,49350.0,D2,Downtrend,Medium,-0.010030090270812475,-0.6553974132731414
005930.KS,2020-04-27,49850.0,D2,Downtrend,Medium,0.010131712259371817,-0.5446458707924562
